,,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,
,,Doing,🚴,Clashes,Potentials,,Doing,🚴,Clashes,Potentials,,Doing,🚴,Clashes,Potentials,,Doing,🚴,Clashes,Potentials,,Doing,🚴,Clashes,Potentials,,Doing,🚴,Clashes,Potentials,,Doing,🚴,Clashes,Potentials,,Doing,🚴,Clashes,Potentials,,Doing,🚴,Clashes,Potentials,,Doing,🚴,Clashes,Potentials,,Doing,🚴,Clashes,Potentials,,Doing,🚴,Clashes,Potentials
1,,,,,,,,,,,,,,,,,,,,,1,ELMS Paul Ricard,,,,,,,,,1,,,,,,,,,Road America,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,1,LDN ✈️ BLG,,,,,,,,,1,ELMS Paul Ricard,,,,,,,,,1,ELMS Imola,,,,,,,,Road America,,,,,,,,,GTWC Barcelona,Petit Le Mans,,,,,,,,,,
3,,,,,,,,,,,1,Misano - AF,,,,,,,,,1,ELMS Paul Ricard,,,,,,,,,1,ELMS Imola,,,GT Open Hungary,,,,,,1,IGT Imola,,,,,,,GTWC Barcelona,Petit Le Mans,,,,,,,,,,
4,,,,,,,,,,,1,Misano - AF,,,,,,,,,,,,,,,,,,,1,ELMS Imola,,,GT Open Hungary,,,,,,1,IGT Imola,,,,,,,GTWC Barcelona,Petit Le Mans,,,,,,,,,,
5,,,,,,,,,,GTWS Portimao,,,,,,1,LDN ✈️ BCN,,,,,,,,,,,,,GT Open Misano,1,ELMS Imola,,,GT Open Hungary,,,,,,1,IGT Imola,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,GTWS Portimao,,,,,,1,ELMS Barcelona,,,,,,,,,,,,,GT Open Misano,,,,,,,,,,,1,IGT Imola,,,,1,ELMS Portimao,,,,,,,,,,,,,
7,,,,,,,,,,GTWS Portimao,,,,,,1,ELMS Barcelona,,,,1,LDN ✈️ BLG,,,,,,,,GT Open Misano,,,,,,,,,,,,,,,,1,ELMS Portimao,,,,,,,,,,,,,
8,,,,,,,,,,GTWS Portimao,,,,,,1,GTWC Paul Ricard,,,,1,IGT Misano Enduro,,,,,,,,Le Mans,,,,,,,,,,,,,,,,1,ELMS Portimao,,,,,,,,,,,,,
9,,,,,Abu Dhabi 6h,,,,,,,,,,,1,GTWC Paul Ricard,,,,1,IGT Misano Enduro,,,,,,,,Le Mans,,,,,,,,,,,,,,,,1,ELMS Portimao,,,,,,,,,,,,,
10,,,,,Abu Dhabi 6h,,,,,,1,Monza Test,,,,1,ELMS Barcelona,,GTWC Paul Ricard,NLS 3,1,IGT Misano Enduro,,,,,,,,Le Mans,,,,,,,,,,,,ELMS Silverstone,,,,1,ELMS Portimao,,,,,,,,,,,,,
11,,,,,Abu Dhabi 6h,,,,,,1,Monza Test,,,,1,GTWC Paul Ricard,,GTWC Paul Ricard,NLS 3,1,,,,,,,,,Le Mans,,,,,,,,,,,,ELMS Silverstone,,,GT Open Hockenheim,,,,,,,,,,,,,,,
12,,,,,,,,,,,1,Monza ✈️ Nurb,,,,1,ELMS Barcelona,,,,1,N24,,,,,,,,Le Mans,,,,,,,,,,,,ELMS Silverstone,,,GT Open Hockenheim,,,,,,,,,,,,,,,
13,,,,Dubai 24h,,,,,,Barcelona,1,NLS 1,,,,,,,,,1,N24,,,,,,,,Le Mans,,,,,,,,,,,,ELMS Silverstone,,,GT Open Hockenheim,,,,,,,,,,,,,,,
14,,,,Dubai 24h,,,,,,Barcelona ,1,NLS ✈️ Imola,,,,,,,,,1,N24,,,,,,,,Le Mans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,Dubai 24h,,,,,,,1,Imola,,,,,,,,,1,N24,,,GT Open Spa,,,,,,,,,,,,,,,,,,,,,1,LDN ✈️ Faro,,Sim Expo Frankfurt,,,,,,,,,,,
16,,,,Dubai 24h,D24 Roar,,,,,,,,,,,1,LDN 🚘 NUR,,,,1,N24,,,GT Open Spa,,,,,,,,,,,,,,,,,,,,,1,GTWC Portimao,,Sim Expo Frankfurt,GT Open Barcelona,,,,,,,,,,
17,,CPT ✈️ LDN,,Dubai 24h,D24 Roar,,,,,,,,,,,1,N24 Qualifiers,,,GT Open,1,N24,,,GT Open Spa,,,,,,,,,,GT Open Paul Ricard,,,,,,,,,,,1,GTWC Portimao,,Sim Expo Frankfurt,GT Open Barcelona,,,,,,,,,,
18,,,,Dubai 24h,D24 Roar,,Snetterton UK,,,,,,,,,1,N24 Qualifiers,,,GT Open,1,Spa 24 Test,,,Spa 24 Test,1,LDN ✈️ MXP,,,,,,,,GT Open Paul Ricard,1,ELMS Spa,,,,,,,,,1,GTWC Portimao,,Sim Expo Frankfurt,GT Open Barcelona,,,,,,,,,,
19,,,,,,1,Snett UK ✈️ NCE,,,,1,LDN 🚘 Nurb,,,,1,N24 Qualifiers,,,GT Open,1,Spa 24 Test,,,Spa 24 Test,1,IGT Monza,,,NLS 6,,,,,GT Open Paul Ricard,1,ELMS Spa,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,1,Paul Ricard,,,,1,NLS 2,,,,,,,,,1,,,,,1,IGT Monza,,,NLS 6,,,,,,1,ELMS Spa,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,1,NLS 2,,,,,,,,,1,,,,,1,IGT Monza ✈️ Koln,,,,,,,,,1,ELMS Spa,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,1,Nurb Test - Rinaldi,,,,,,,,,1,IGT Vallelunga,,,,1,GTWC Spa24,,,,,,,,,1,ELMS Spa,,,,,,,,,1,IGT Mugello,,,,,,,,,,,,,
23,,,,,D24,1,LDN ✈️ Faro,,,,1,Nurb Test - Rinaldi,,,,1,LDN ✈️ BLG,,,,1,IGT Vallelunga,,,,1,GTWC Spa24,,,,1,IGT Mugello,,,,1,ELMS Spa,,,,,,,,,1,IGT Mugello,,,,,,,,,,,,,
24,,,,,D24,1,Portimao,,,,1,Spa Test - AF,,,,1,IGT Imola Sprint,,,,1,IGT Vallelunga,,,,1,GTWC Spa24,,,,1,IGT Mugello,,,,,,,,,,,,,,1,IGT Mugello,,,,,,,,,,,,,
25,,,,,D24,1,Portimao,,,,1,Spa Test - AF,,,,1,IGT Imola Sprint,,,,,,,,,1,GTWC Spa24,,,,1,IGT Mugello,,,,,,,,,,,,,GT Open Monza,1,IGT Mugello,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,1,IGT Imola Sprint,,,,,,,,,1,GTWC Spa24,,,Watkins 6H,1,IGT Mugello,,,,,,,,,,,,,GT Open Monza,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,1,GTWC Spa24,,,Watkins 6H,,,,,,,,,,,,,,,GT Open Monza,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,1,LDN ✈️ MXP,,,,1,GTWC Spa24,,,Watkins 6H,,,,,,1,GTWC Nürburgring,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,1,ELMS Paul Ricard,,,,1,GTWC Monza,,,,1,Spa 🚘 LDN,,,,,,,,,1,GTWC Nürburgring,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,1,ELMS Paul Ricard,,,,1,GTWC Monza,,,GTWC Monza,,,,,,,,,,,1,GTWC Nürburgring,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,1,GTWC Monza,,,GTWC Monza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
